llava_base-1,llava_base-2,llava_base-3,llava_base-4,llava_base-5,llava_1ep-1,llava_1ep-2,llava_1ep-3,llava_1ep-4,llava_1ep-5,llava_5ep-1,llava_5ep-2,llava_5ep-3,llava_5ep-4,llava_5ep-5,llava_7ep-1,llava_7ep-2,llava_7ep-3,llava_7ep-4,llava_7ep-5,llava_10ep-1,llava_10ep-2,llava_10ep-3,llava_10ep-4,llava_10ep-5
bored,,,,,bored,bored,bored,,,comforting,,,,,comforting,comforting,comforting,,,comforting,,,,
upset,,,,,upset,upset,upset,,,upset,,,,,upset,upset,upset,,,upset,,,,
convinced,,,,,convinced,convinced,convinced,,,convinced,,,,,convinced,convinced,convinced,,,convinced,,,,
insisting,,,,,insisting,insisting,insisting,,,insisting,,,,,insisting,insisting,insisting,,,insisting,,,,
worried,,,,,worried,worried,worried,,,worried,,,,,worried,worried,worried,,,worried,,,,
alarmed,,,,,alarmed,alarmed,alarmed,,,alarmed,,,,,alarmed,alarmed,alarmed,,,alarmed,,,,
uneasy,,,,,uneasy,uneasy,uneasy,,,uneasy,,,,,uneasy,uneasy,uneasy,,,uneasy,,,,
despondent,,,,,despondent,despondent,despondent,,,despondent,,,,,despondent,despondent,despondent,,,despondent,,,,
horrified,,,,,preoccupied,preoccupied,preoccupied,,,horrified,,,,,preoccupied,preoccupied,preoccupied,,,preoccupied,,,,
bored,,,,,cautious,cautious,cautious,,,cautious,,,,,cautious,cautious,cautious,,,cautious,,,,
amused,,,,,regretful,regretful,regretful,,,terrified,,,,,terrified ,regretful,regretful,,,regretful,,,,
skeptical,,,,,skeptical,skeptical,skeptical,,,skeptical,,,,,skeptical,skeptical,skeptical,,,skeptical,,,,
decisive,,,,,shy,shy,shy,,,threatening,,,,,shy ,shy,shy,,,shy,,,,
accusing,,,,,depressed,depressed,depressed,,,accusing,,,,,accusing,accusing,accusing,,,accusing,,,,
contemplative,,,,,contemplative,contemplative,contemplative,,,encouraging,,,,,contemplative,contemplative,contemplative,,,contemplative,,,,
thoughtful,,,,,thoughtful,thoughtful,sympathetic,,,sympathetic,,,,,sympathetic,sympathetic,sympathetic,,,sympathetic,,,,
aghast,,,,,aghast,aghast,aghast,,,doubtful,,,,,doubtful,doubtful,doubtful,,,doubtful,,,,
decisive,,,,,bored,amused,amused,,,aghast,,,,,aghast ,aghast,aghast,,,aghast,,,,
tentative,,,,,tentative,tentative,tentative,,,tentative,,,,,tentative,tentative,tentative,,,tentative,,,,
horrified,,,,,friendly,horrified,horrified,,,dominant,,,,,friendly,friendly,dominant,,,friendly,,,,
confused,,,,,confused,confused,confused,,,confused,,,,,confused ,confused,confused,,,confused.,,,,
insisting,,,,,preoccupied,preoccupied,preoccupied,,,insisting,,,,,insisting ,insisting,insisting,,,insisting,,,,
curious,,,,,curious,curious,curious,,,curious,,,,,curious ,curious,curious,,,curious,,,,
pensive,,,,,pensive,pensive,pensive,,,pensive,,,,,pensive,pensive,pensive,,,pensive,,,,
panicked,,,,,interested,despondent,interested,,,panicked,,,,,panicked ,panicked,panicked,,,panicked,,,,
anxious,,,,,alarmed,alarmed,anxious,,,anxious,,,,,anxious ,anxious,anxious,,,anxious,,,,
cautious,,,,,reassuring,reassuring,reassuring,,,reassuring,,,,,reassuring ,reassuring,cautious,,,reassuring,,,,
contented,,,,,interested,interested,interested,,,interested,,,,,interested,interested,interested,,,interested,,,,
reflective,,,,,reflective,reflective,reflective,,,reflective,,,,,reflective,reflective,reflective,,,reflective,,,,
disappointed,,,,,disappointed,disappointed,disappointed,,,flirtatious,,,,,flirtatious,flirtatious,flirtatious,,,flirtatious,,,,
confident,,,,,confident,confident,ashamed,,,confident,,,,,confident,ashamed,confident,,,confident,,,,
bewildered,,,,,serious,serious,serious,,,ashamed,,,,,serious,ashamed,ashamed,,,ashamed,,,,
concerned,,,,,concerned,concerned,concerned,,,concerned,,,,,concerned,concerned,concerned,,,concerned,,,,
baffled,,,,,baffled,baffled,baffled,,,distrustful,,,,,distrustful,distrustful,distrustful,,,distrustful,,,,
contemplative,,,,,contemplative,contemplative,contemplative,,,contemplative,,,,,insisting,insisting ,insisting,,,insisting,,,,
suspicious,,,,,suspicious,suspicious,suspicious,,,suspicious,,,,,suspicious,suspicious,suspicious,,,suspicious,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
